Zip,state,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh)
1,AK,AKMS,497.557
2,AK,AKMS,497.557
3,AK,AKMS,497.557
4,AK,AKMS,497.557
5,AK,AKMS,497.557
6,AK,AKGD,1057.841
7,AK,AKMS,497.557
8,AK,AKMS,497.557
9,AK,AKMS,497.557
10,AK,AKMS,497.557
11,AK,AKGD,1057.841
12,CA,CAMX,499.278
13,HI,HIMS,1163.065
14,AZ,AZNM,779.382
15,AZ,AZNM,779.382
16,CA,CAMX,499.278
17,CA,CAMX,499.278
18,CA,CAMX,499.278
19,CA,CAMX,499.278
20,CA,CAMX,499.278
22,CA,CAMX,499.278
26,CA,CAMX,499.278
27,CO,RMPA,1131.733
28,CA,CAMX,499.278
29,CA,CAMX,499.278
31,CA,CAMX,499.278
32,CA,CAMX,499.278
33,CA,CAMX,499.278
34,CA,NWPP,605.872
35,CA,NWPP,605.872
37,CA,CAMX,499.278
38,CA,CAMX,499.278
39,CA,CAMX,499.278
40,CA,CAMX,499.278
41,FL,FRCC,816.893
42,FL,FRCC,816.893
43,FL,FRCC,816.893
44,CA,CAMX,499.278
45,FL,FRCC,816.893
47,CA,CAMX,499.278
48,CA,CAMX,499.278
49,CA,NWPP,605.872
50,CA,CAMX,499.278
51,CA,CAMX,499.278
52,CA,CAMX,499.278
53,FL,FRCC,816.893
54,CA,CAMX,499.278
55,CA,CAMX,499.278
56,ID,NWPP,605.872
57,CA,CAMX,499.278
58,CA,CAMX,499.278
59,MN,MROW,943.418
60,MN,MROW,943.418
61,CA,CAMX,499.278
63,MT,NWPP,605.872
64,NM,AZNM,779.382
65,CA,CAMX,499.278
66,NM,AZNM,779.382
67,OK,SPSO,975.253
68,OR,NWPP,605.872
69,OR,NWPP,605.872
70,OR,NWPP,605.872
71,UT,NWPP,605.872
72,WA,NWPP,605.872
73,WA,NWPP,605.872
74,WA,NWPP,605.872
76,WA,NWPP,605.872
77,OR,NWPP,605.872
84,NC,SRVC,625.874
87,FL,FRCC,816.893
97,FL,FRCC,816.893
98,FL,FRCC,816.893
100,UT,NWPP,605.872
116,LA,SRMV,803.658
119,LA,SRMV,803.658
120,LA,SRMV,803.658
121,LA,SRMV,803.658
125,ME,NEWE,540.48
126,ME,NEWE,540.48
127,ME,NEWE,540.48
128,ME,NEWE,540.48
130,ME,NEWE,540.48
132,ME,NEWE,540.48
133,ME,NEWE,540.48
134,ME,NEWE,540.48
135,ME,NEWE,540.48
137,ME,NEWE,540.48
138,ME,NEWE,540.48
139,ME,NEWE,540.48
141,ME,NEWE,540.48
148,ME,NEWE,540.48
151,ME,NEWE,540.48
152,MD,RFCE,660.311
158,MA,NEWE,540.48
160,MN,MROW,943.418
161,MN,MROW,943.418
164,MN,MROW,943.418
165,MN,MROW,943.418
166,MN,MROW,943.418
168,NH,NEWE,540.48
172,NH,NEWE,540.48
173,NH,NEWE,540.48
174,NH,NEWE,540.48
176,NH,NEWE,540.48
177,NH,NEWE,540.48
179,NH,NEWE,540.48
180,NH,NEWE,540.48
181,NH,NEWE,540.48
182,NH,NEWE,540.48
183,NH,NEWE,540.48
184,NH,NEWE,540.48
185,NH,NEWE,540.48
188,TX,ERCT,774.298
195,WA,NWPP,605.872
197,AZ,AZNM,779.382
198,AK,AKGD,1057.841
199,AZ,AZNM,779.382
501,NY,NYLI,1209.311
544,NY,NYLI,1209.311
601,PR,PRMS,1599.922
602,PR,PRMS,1599.922
603,PR,PRMS,1599.922
604,PR,PRMS,1599.922
605,PR,PRMS,1599.922
606,PR,PRMS,1599.922
610,PR,PRMS,1599.922
611,PR,PRMS,1599.922
612,PR,PRMS,1599.922
613,PR,PRMS,1599.922
614,PR,PRMS,1599.922
616,PR,PRMS,1599.922
617,PR,PRMS,1599.922
622,PR,PRMS,1599.922
623,PR,PRMS,1599.922
624,PR,PRMS,1599.922
627,PR,PRMS,1599.922
631,PR,PRMS,1599.922
636,PR,PRMS,1599.922
637,PR,PRMS,1599.922
638,PR,PRMS,1599.922
641,PR,PRMS,1599.922
646,PR,PRMS,1599.922
647,PR,PRMS,1599.922
650,PR,PRMS,1599.922
652,PR,PRMS,1599.922
653,PR,PRMS,1599.922
656,PR,PRMS,1599.922
659,PR,PRMS,1599.922
660,PR,PRMS,1599.922
662,PR,PRMS,1599.922
664,PR,PRMS,1599.922
667,PR,PRMS,1599.922
669,PR,PRMS,1599.922
670,PR,PRMS,1599.922
674,PR,PRMS,1599.922
676,PR,PRMS,1599.922
677,PR,PRMS,1599.922
678,PR,PRMS,1599.922
680,PR,PRMS,1599.922
681,PR,PRMS,1599.922
682,PR,PRMS,1599.922
683,PR,PRMS,1599.922
685,PR,PRMS,1599.922
687,PR,PRMS,1599.922
688,PR,PRMS,1599.922
690,PR,PRMS,1599.922
692,PR,PRMS,1599.922
693,PR,PRMS,1599.922
694,PR,PRMS,1599.922
698,PR,PRMS,1599.922
703,PR,PRMS,1599.922
704,PR,PRMS,1599.922
705,PR,PRMS,1599.922
707,PR,PRMS,1599.922
714,PR,PRMS,1599.922
715,PR,PRMS,1599.922
716,PR,PRMS,1599.922
717,PR,PRMS,1599.922
718,PR,PRMS,1599.922
719,PR,PRMS,1599.922
720,PR,PRMS,1599.922
721,PR,PRMS,1599.922
723,PR,PRMS,1599.922
725,PR,PRMS,1599.922
726,PR,PRMS,1599.922
727,PR,PRMS,1599.922
728,PR,PRMS,1599.922
729,PR,PRMS,1599.922
730,PR,PRMS,1599.922
731,PR,PRMS,1599.922
732,PR,PRMS,1599.922
733,PR,PRMS,1599.922
734,PR,PRMS,1599.922
735,PR,PRMS,1599.922
736,PR,PRMS,1599.922
737,PR,PRMS,1599.922
738,PR,PRMS,1599.922
739,PR,PRMS,1599.922
740,PR,PRMS,1599.922
741,PR,PRMS,1599.922
742,PR,PRMS,1599.922
744,PR,PRMS,1599.922
745,PR,PRMS,1599.922
751,PR,PRMS,1599.922
754,PR,PRMS,1599.922
757,PR,PRMS,1599.922
765,PR,PRMS,1599.922
766,PR,PRMS,1599.922
767,PR,PRMS,1599.922
769,PR,PRMS,1599.922
771,PR,PRMS,1599.922
772,PR,PRMS,1599.922
773,PR,PRMS,1599.922
775,PR,PRMS,1599.922
777,PR,PRMS,1599.922
